City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Khandbari,NP,27.3747,87.2039,81.16,42,84,4.52,broken clouds
79,Indramayu,ID,-6.3264,108.32,86.02,69,55,14.14,broken clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,90,6.91,overcast clouds
81,Lexington,US,37.9887,-84.4777,62.6,72,90,6.91,overcast clouds
82,Te Anau,NZ,-45.4167,167.7167,55.9,66,12,5.97,few clouds
83,Bluff,NZ,-46.6,168.3333,60.01,68,4,7.0,clear sky
84,Khatanga,RU,71.9667,102.5,32.22,94,100,9.66,overcast clouds
85,Ankara,TR,39.9199,32.8543,66.99,71,0,2.3,clear sky
86,Kodiak,US,57.79,-152.4072,42.8,81,90,17.27,moderate rain
87,Eregli,TR,37.5133,34.0467,68.13,40,30,4.12,scattered clouds
88,Rio Gallegos,AR,-51.6226,-69.2181,37.4,87,75,12.66,light rain
89,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,75,9.22,broken clouds
90,Bengkulu,ID,-3.8004,102.2655,89.22,53,84,2.3,broken clouds
91,Aklavik,CA,68.2191,-135.0107,33.8,64,100,10.36,overcast clouds
92,Keti Bandar,PK,24.1447,67.4497,85.17,55,84,13.44,broken clouds
93,Broome,US,42.2506,-75.833,53.01,81,75,5.75,broken clouds
94,Bethel,US,41.3712,-73.414,59.0,77,98,1.54,overcast clouds
95,Nhulunbuy,AU,-12.2333,136.7667,84.2,74,75,14.97,broken clouds
96,Talnakh,RU,69.4865,88.3972,30.29,91,94,7.92,overcast clouds
97,Ludvika,SE,60.1496,15.1878,37.0,100,77,3.44,broken clouds
98,Kieta,PG,-6.2167,155.6333,84.02,76,99,3.67,light rain
99,Dong Hoi,VN,17.4833,106.6,85.62,73,16,11.3,few clouds
100,Port-Gentil,GA,-0.7193,8.7815,80.82,81,100,8.08,moderate rain
101,Darfo,IT,45.8779,10.1812,51.01,93,20,3.44,few clouds
102,Hilo,US,19.7297,-155.09,78.8,65,90,10.36,moderate rain
103,Mahajanga,MG,-15.7167,46.3167,73.4,94,40,3.44,scattered clouds
104,Yellowknife,CA,62.456,-114.3525,28.4,29,20,6.91,few clouds
105,Lavrentiya,RU,65.5833,-171.0,25.14,78,100,12.91,overcast clouds
106,Haines Junction,CA,60.7522,-137.5108,44.6,42,90,8.05,overcast clouds
107,Severo-Kurilsk,RU,50.6789,156.125,35.49,98,100,20.36,light rain
108,Kamenka,RU,51.3223,42.7678,59.0,80,100,13.6,overcast clouds
109,Tasiilaq,GL,65.6145,-37.6368,28.4,59,10,5.75,clear sky
110,Warri,NG,5.5167,5.75,77.02,93,94,2.37,overcast clouds
111,Haizhou,CN,34.5817,119.1289,68.54,48,100,12.66,light rain
112,Port Alfred,ZA,-33.5906,26.891,62.94,72,0,11.77,clear sky
113,Hermanus,ZA,-34.4187,19.2345,66.99,41,0,1.01,clear sky
114,Terney,RU,45.0503,136.6092,54.01,45,22,8.01,few clouds
115,Saint George,US,37.1041,-113.5841,68.0,32,75,12.66,broken clouds
116,New Norfolk,AU,-42.7826,147.0587,52.0,73,100,4.0,light rain
117,Ribeira Grande,PT,38.5167,-28.7,60.48,88,99,10.22,overcast clouds
118,Chokurdakh,RU,70.6333,147.9167,28.18,87,68,6.89,broken clouds
119,Acarau,BR,-2.8856,-40.12,77.5,80,100,3.13,overcast clouds
120,Hobart,AU,-42.8794,147.3294,53.6,82,75,13.8,light rain
121,Ust-Nera,RU,64.5667,143.2,39.99,77,99,3.65,overcast clouds
122,Nikolskoye,RU,59.7035,30.7861,39.2,56,0,11.18,light rain
123,Airai,TL,-8.9266,125.4092,69.76,63,68,4.56,broken clouds
124,Karla,EE,59.3723,24.9275,41.0,75,0,13.8,clear sky
125,Hualmay,PE,-11.0964,-77.6139,66.11,88,33,7.25,scattered clouds
126,Mwinilunga,ZM,-11.7358,24.4293,60.24,93,86,8.57,overcast clouds
127,Coolum Beach,AU,-26.5333,153.1,75.99,84,82,10.89,broken clouds
128,Kapaa,US,22.0752,-159.319,75.2,78,75,14.97,broken clouds
129,Castro,BR,-24.7911,-50.0119,55.78,90,0,2.39,clear sky
130,Karabanovo,RU,56.3167,38.7,44.91,97,100,14.09,light rain
131,Buraydah,SA,26.326,43.975,68.0,34,0,3.44,clear sky
132,Dunmore East,IE,52.1514,-6.9861,50.0,80,100,4.0,moderate rain
133,Wanxian,CN,30.8039,108.3897,71.13,92,100,2.35,light rain
134,Vaini,TO,-21.2,-175.2,75.2,69,75,10.36,broken clouds
135,Mackay,AU,-21.15,149.2,78.01,73,40,17.27,scattered clouds
136,Teya,RU,60.3778,92.6267,35.37,99,100,9.06,snow
137,Kargasok,RU,59.0556,80.8572,53.26,78,100,13.69,overcast clouds
138,Ancud,CL,-41.8697,-73.8203,46.99,87,75,5.75,light rain
139,Saravan,AM,39.7196,45.6483,59.0,72,40,4.61,scattered clouds
140,Bathsheba,BB,13.2167,-59.5167,77.0,73,40,17.27,scattered clouds
141,Andenes,NO,69.3143,16.1194,32.0,74,0,12.66,clear sky
142,Khasan,RU,42.4308,130.6434,60.57,44,30,4.92,scattered clouds
143,Ramsar,IR,36.9226,50.6426,60.8,94,90,4.43,overcast clouds
144,Tual,ID,-5.6667,132.75,82.72,74,79,15.86,broken clouds
145,Talcahuano,CL,-36.7167,-73.1167,53.6,100,90,2.3,moderate rain
146,Esperance,AU,-33.8667,121.9,66.2,63,40,12.66,scattered clouds
147,Gillette,US,44.2911,-105.5022,42.8,87,75,12.66,broken clouds
148,Mahebourg,MU,-20.4081,57.7,73.4,94,40,6.91,scattered clouds
149,Nome,US,64.5011,-165.4064,39.2,65,90,12.66,overcast clouds
150,Sana,YE,15.3547,44.2067,61.03,41,96,0.6,overcast clouds
151,Saskylakh,RU,71.9167,114.0833,30.83,87,100,11.16,overcast clouds
152,Miraflores,MX,19.2167,-98.8083,69.8,37,1,5.53,clear sky
153,Mapimi,MX,25.8167,-103.85,87.8,12,20,4.61,few clouds
154,Sitka,US,57.0531,-135.33,50.0,50,90,12.66,overcast clouds
155,Aksarka,RU,66.5606,67.7975,31.82,82,79,17.63,broken clouds
156,Carnarvon,AU,-24.8667,113.6333,71.6,46,40,9.22,scattered clouds
157,Nouadhibou,MR,20.931,-17.0347,64.4,77,0,14.97,clear sky
158,Souillac,MU,-20.5167,57.5167,73.4,94,40,6.91,scattered clouds
159,Dikson,RU,73.5069,80.5464,29.64,83,100,14.7,overcast clouds
160,Anadyr,RU,64.75,177.4833,17.6,79,20,11.18,few clouds
161,Najran,SA,17.4924,44.1277,73.4,38,40,6.91,scattered clouds
162,Gobabis,NA,-22.45,18.9667,53.24,67,14,10.63,few clouds
163,Constitucion,CL,-35.3333,-72.4167,53.96,95,100,6.29,overcast clouds
164,Sayaxche,GT,16.5167,-90.1667,69.17,95,80,3.47,broken clouds
165,Kailua,US,21.4022,-157.7394,80.6,69,75,13.8,broken clouds
166,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,20,2.3,few clouds
167,Guisa,CU,20.255,-76.5386,77.0,83,1,8.05,clear sky
168,Kolyvan,RU,55.3053,82.7391,59.0,25,0,17.9,clear sky
169,Launceston,AU,-41.45,147.1667,64.0,67,75,5.75,light rain
170,Pevek,RU,69.7008,170.3133,18.36,88,95,3.96,overcast clouds
171,Saint-Leu,RE,-21.15,55.2833,75.2,69,0,6.91,clear sky
